Year,Municipality,GER
2010,Santa Marta de Penaguião,5.0
2010,Vila Real,217.1
2010,Armamar,1.8
2010,Lamego,196.7
2010,Moimenta da Beira,238.3
2010,Penedono,5.0
2010,São João da Pesqueira,278.7
2010,Sernancelhe,106.4
2010,Tabuaço,87.4
2010,Tarouca,72.9
2010,Carrazeda de Ansiães,137.1
2010,Freixo de Espada à Cinta,
2010,Torre de Moncorvo,142.2
2010,Vila Nova de Foz Côa,86.3
2010,Castelo de Paiva,137.3
2010,Amarante,155.9
2010,Baião,101.0
2010,Felgueiras,194.2
2010,Lousada,96.8
2010,Marco de Canaveses,126.9
2010,Paços de Ferreira,85.4
2010,Penafiel,121.9
2010,Cinfães,102.8
2010,Resende,97.8
2010,Celorico de Basto,169.6
2010,Alfândega da Fé,110.3
2010,Bragança,255.0
2010,Macedo de Cavaleiros,153.8
2010,Miranda do Douro,198.7
2010,Mirandela,168.7
2010,Mogadouro,140.3
2010,Vila Flor,90.0
2010,Vimioso,
2010,Vinhais,97.9
2010,Castelo Branco,256.5
2010,Idanha-a-Nova,201.1
2010,Oleiros,50.0
2010,Penamacor,77.2
2010,Proença-a-Nova,113.9
2010,Vila Velha de Ródão,
2010,Belmonte,53.5
2010,Covilhã,200.9
2010,Fundão,132.3
2010,Almeida,103.9
2010,Celorico da Beira,136.8
2010,Figueira de Castelo Rodrigo,114.1
2010,Fornos de Algodres,136.1
2010,Gouveia,158.5
2010,Guarda,203.0
2010,Manteigas,149.1
2010,Meda,90.6
2010,Pinhel,153.9
2010,Sabugal,77.0
2010,Seia,178.8
2010,Trancoso,244.0
2010,Abrantes,293.8
2010,Alcanena,154.4
2010,Constância,56.9
2010,Entroncamento,145.8
2010,Ferreira do Zêzere,87.7
2010,Mação,301.4
2010,Sardoal,134.1
2010,Tomar,186.0
2010,Torres Novas,185.5
2010,Vila Nova da Barquinha,48.5
2010,Ourém,159.9
2010,Sertã,198.1
2010,Vila de Rei,
2010,Alcobaça,235.7
2010,Bombarral,136.1
2010,Caldas da Rainha,191.8
2010,Nazaré,127.9
2010,Óbidos,51.9
2010,Peniche,129.8
2010,Alenquer,85.2
2010,Arruda dos Vinhos,179.9
2010,Cadaval,100.6
2010,Lourinhã,119.3
2010,Sobral de Monte Agraço,64.2
2010,Torres Vedras,157.4
2010,Águeda,173.6
2010,Albergaria-a-Velha,110.5
2010,Anadia,100.2
2010,Aveiro,202.4
2010,Estarreja,107.4
2010,Ílhavo,84.8
2010,Murtosa,16.0
2010,Oliveira do Bairro,131.4
2010,Ovar,112.1
2010,Sever do Vouga,190.4
2010,Vagos,125.8
2010,Mealhada,96.3
2010,Mortágua,192.9
2010,Arganil,292.8
2010,Cantanhede,138.7
2010,Coimbra,225.5
2010,Condeixa-a-Nova,79.5
2010,Figueira da Foz,152.3
2010,Góis,
2010,Lousã,143.7
2010,Mira,76.4
2010,Miranda do Corvo,51.0
2010,Montemor-o-Velho,148.2
2010,Oliveira do Hospital,270.3
2010,Pampilhosa da Serra,44.2
2010,Penacova,85.8
2010,Penela,63.6
2010,Soure,205.7
2010,Tábua,59.1
2010,Vila Nova de Poiares,182.9
2010,Alvaiázere,79.8
2010,Ansião,183.1
2010,Batalha,110.2
2010,Castanheira de Pêra,
2010,Figueiró dos Vinhos,170.2
2010,Leiria,158.1
2010,Marinha Grande,229.2
2010,Pedrógão Grande,220.0
2010,Pombal,186.3
2010,Porto de Mós,111.5
2010,Carregal do Sal,90.8
2010,Castro Daire,131.9
2010,Mangualde,123.1
2010,Nelas,110.8
2010,Oliveira de Frades,174.6
2010,Penalva do Castelo,124.8
2010,Santa Comba Dão,194.9
2010,São Pedro do Sul,149.0
2010,Sátão,87.8
2010,Tondela,116.1
2010,Vila Nova de Paiva,77.3
2010,Viseu,193.8
2010,Vouzela,95.7
2010,Aguiar da Beira,73.1
2010,Cascais,150.3
2010,Lisboa,311.1
2010,Loures,103.8
2010,Mafra,102.5
2010,Oeiras,145.0
2010,Sintra,96.5
2010,Vila Franca de Xira,139.9
2010,Amadora,181.9
2010,Odivelas,155.1
2010,Alcochete,159.4
2010,Almada,149.0
2010,Barreiro,205.8
2010,Moita,74.6
2010,Montijo,148.3
2010,Palmela,130.7
2010,Seixal,104.4
2010,Sesimbra,87.3
2010,Setúbal,193.8
2010,Alandroal,147.7
2010,Arraiolos,157.8
2010,Borba,60.2
2010,Estremoz,356.7
2010,Évora,221.0
2010,Montemor-o-Novo,124.3
2010,Mora,119.6
2010,Mourão,
2010,Portel,18.0
2010,Redondo,122.0
2010,Reguengos de Monsaraz,172.0
2010,Vendas Novas,196.2
2010,Viana do Alentejo,163.5
2010,Vila Viçosa,223.1
2010,Alcácer do Sal,105.3
2010,Grândola,193.7
2010,Santiago do Cacém,164.7
2010,Sines,169.4
2010,Odemira,304.4
2010,Alter do Chão,162.9
2010,Arronches,4.8
2010,Avis,141.4
2010,Campo Maior,204.2
2010,Castelo de Vide,21.1
