Municipality,Year,Value
Évora,2009,167.0
Montemor-o-Novo,2009,34.0
Mora,2009,1.0
Mourão,2009,3.0
Portel,2009,4.0
Redondo,2009,27.0
Reguengos de Monsaraz,2009,16.0
Vendas Novas,2009,17.0
Viana do Alentejo,2009,17.0
Vila Viçosa,2009,6.0
Albufeira,2009,106.0
Alcoutim,2009,3.0
Aljezur,2009,5.0
Castro Marim,2009,15.0
Faro,2009,102.0
Lagoa,2009,62.0
Lagos,2009,72.0
Loulé,2009,127.0
Monchique,2009,3.0
Olhão,2009,128.0
Portimão,2009,170.0
São Brás de Alportel,2009,13.0
Silves,2009,91.0
Tavira,2009,33.0
Vila do Bispo,2009,6.0
Vila Real de Santo António,2009,49.0
Aguiar da Beira,2009,5.0
Almeida,2009,5.0
Celorico da Beira,2009,12.0
Figueira de Castelo Rodrigo,2009,7.0
Fornos de Algodres,2009,5.0
Gouveia,2009,20.0
Guarda,2009,51.0
Manteigas,2009,4.0
Meda,2009,10.0
Pinhel,2009,7.0
Sabugal,2009,8.0
Seia,2009,39.0
Trancoso,2009,24.0
Vila Nova de Foz Côa,2009,10.0
Alcobaça,2009,73.0
Alvaiázere,2009,10.0
Ansião,2009,32.0
Batalha,2009,37.0
Bombarral,2009,43.0
Caldas da Rainha,2009,160.0
Castanheira de Pêra,2009,4.0
Figueiró dos Vinhos,2009,8.0
Leiria,2009,206.0
Marinha Grande,2009,117.0
Nazaré,2009,41.0
Óbidos,2009,19.0
Pedrógão Grande,2009,3.0
Peniche,2009,27.0
Pombal,2009,87.0
Porto de Mós,2009,59.0
Alenquer,2009,99.0
Amadora,2009,631.0
Arruda dos Vinhos,2009,11.0
Azambuja,2009,46.0
Cadaval,2009,15.0
Cascais,2009,266.0
Lisboa,2009,1383.0
Loures,2009,479.0
Lourinhã,2009,38.0
Mafra,2009,56.0
Odivelas,2009,314.0
Oeiras,2009,428.0
Sintra,2009,1209.0
Sobral de Monte Agraço,2009,14.0
Torres Vedras,2009,113.0
Vila Franca de Xira,2009,358.0
Alter do Chão,2009,11.0
Arronches,2009,4.0
Avis,2009,1.0
Campo Maior,2009,26.0
Castelo de Vide,2009,1.0
Crato,2009,16.0
Elvas,2009,58.0
Fronteira,2009,8.0
Gavião,2009,9.0
Marvão,2009,1.0
Monforte,2009,1.0
Nisa,2009,9.0
Ponte de Sor,2009,24.0
Portalegre,2009,60.0
Sousel,2009,7.0
Amarante,2009,171.0
Baião,2009,50.0
Felgueiras,2009,97.0
Gondomar,2009,614.0
Lousãada,2009,65.0
Maia,2009,346.0
Marco de Canaveses,2009,85.0
Matosinhos,2009,577.0
Paços de Ferreira,2009,82.0
Paredes,2009,171.0
Penafiel,2009,128.0
Porto,2009,1223.0
Póvoa de Varzim,2009,118.0
Santo Tirso,2009,139.0
Trofa,2009,69.0
Valongo,2009,291.0
Vila do Conde,2009,182.0
Vila Nova de Gaia,2009,1016.0
Abrantes,2009,63.0
Alcanena,2009,15.0
Almeirim,2009,34.0
Alpiarça,2009,6.0
