Municipality,Year,DVASA,Fertility,Population,Population100,Men65,Monthly_Gain,Wage_Gap,Middle_Aged_Women,Unemployment_Total,Unemployment_Male,Unemployment_Female,Marriages,Elderly_Dependency,Youth_Dependency,Female_Doctors,Total_Doctors,Mental_Health,SS_Pensions,GER,GER_Men,GER_Women,Divorces
Santa Maria da Feira,2019,0.2632793790934534,1.26,138636,1386.36,8.160218125162295,1046.1,81.42124801131341,21.9683199169047,3.1263885282322055,1.3026919414870597,1.8236965867451458,0.2805908999105572,27.7,18.7,62.16867469879518,0.2993450474624196,1.2048192771084338,0.6,86.0,84.9,87.2,68.9
Ílhavo,2019,0.24290033334194683,1.52,38699,386.99,8.111320705961395,1094.6,73.4856324126403,21.775756479495595,3.0912943486911804,1.3336261918912633,1.7579265614098554,0.18605131915553372,29.4,20.6,58.47457627118644,0.3049174397271247,1.694915254237288,0.5,65.2,66.3,64.1,106.9
Mealhada,2019,0.16069097117605705,1.25,19914,199.14,9.646479863412674,1076.1,76.99753757323596,21.21120819523953,1.766094205081852,0.8114894044390881,0.9546048006427639,0.31636034950286235,36.3,18.5,62.5,0.3213819423521141,1.5625,0.7,95.1,111.1,78.2,57.1
Murtosa,2019,0.24321432045918862,1.35,10279,102.79,8.210915458702209,890.8,83.90329579502014,20.17706002529429,1.9680902811557544,0.9582644226092032,1.0098258585465512,0.6129000875571553,32.0,21.2,57.89473684210526,0.18484288354898334,0.0,0.5,24.6,19.1,30.2,23.8
Oliveira de Azeméis,2019,0.22571995576494827,1.19,66011,660.11,9.457514656648135,1097.2,73.30543246348269,21.079820029995002,1.8259078032449136,0.7450273439275272,1.0808804593173864,0.245413643180682,32.3,16.9,59.036144578313255,0.25147323930860005,0.6024096385542169,0.6,99.6,94.5,104.8,82.7
Oliveira do Bairro,2019,0.24302838077192404,1.37,24277,242.77,8.736664332495778,1008.4,79.45168539325843,21.872554269473163,1.9186884705688512,0.7467973802364378,1.1718910903324133,0.4242698850764097,32.2,21.7,51.66666666666666,0.24714750586975326,0.0,0.5,78.8,91.1,66.6,56.3
Ovar,2019,0.20272760781422777,1.34,54260,542.6,8.474014006634722,1032.4,82.1543121881682,21.472539624032436,3.4246221894581645,1.4506081828234427,1.9740140066347214,0.2856616291927755,29.2,18.6,61.13989637305699,0.3556948028013269,1.0362694300518134,0.6,94.6,89.1,100.6,75.5
São João da Madeira,2019,0.3233445669004463,1.05,21958,219.58,8.361417251115766,1057.5,79.24175450527031,21.64586938701157,2.938336824847436,1.3061298843246196,1.6317515256398578,0.5783769013571363,29.2,18.3,53.333333333333336,0.4098733946625375,0.0,0.6,279.8,292.0,268.0,38.6
Sever do Vouga,2019,0.18533227429176594,1.17,11331,113.31,11.419998234930722,1000.2,79.6395070811109,19.20395375518489,1.867443297149413,0.7704527402700556,1.0969905568793574,0.16768158150207396,42.9,16.3,52.38095238095238,0.18533227429176594,9.523809523809524,0.8,201.5,245.5,149.7,94.7
Vagos,2019,0.20668425681618294,1.37,22740,227.4,9.217238346525946,993.3,85.64566261655834,21.266490765171504,2.0175901495162707,0.8122251539138082,1.2053649956024628,0.46174142480211083,33.5,20.0,60.0,0.2418645558487247,0.0,0.5,101.9,108.1,96.1,44.8
