Municipality,Year,Value
Paredes de Coura,2011,1.0
Ponte da Barca,2011,1.1
Ponte de Lima,2011,0.7
Valença,2011,0.8
Viana do Castelo,2011,0.7
Vila Nova de Cerveira,2011,0.8
Amares,2011,0.6
Barcelos,2011,0.5
Braga,2011,0.5
Esposende,2011,0.5
Terras de Bouro,2011,1.1
Vila Verde,2011,0.7
Cabeceiras de Basto,2011,0.9
Fafe,2011,0.7
Guimarães,2011,0.5
Mondim de Basto,2011,1.0
Póvoa de Lanhoso,2011,0.7
Vieira do Minho,2011,1.1
Vila Nova de Famalicão,2011,0.5
Vizela,2011,0.4
Arouca,2011,0.8
Espinho,2011,0.8
Gondomar,2011,0.6
Maia,2011,0.5
Matosinhos,2011,0.6
Oliveira de Azeméis,2011,0.6
Paredes,2011,0.4
Porto,2011,0.9
Póvoa de Varzim,2011,0.5
Santa Maria da Feira,2011,0.6
Santo Tirso,2011,0.8
São João da Madeira,2011,0.6
Trofa,2011,0.4
Vale de Cambra,2011,0.7
Valongo,2011,0.5
Vila do Conde,2011,0.5
Vila Nova de Gaia,2011,0.6
Boticas,2011,1.6
Chaves,2011,1.0
Montalegre,2011,1.8
Ribeira de Pena,2011,1.2
Valpaços,2011,1.8
Vila Pouca de Aguiar,2011,1.3
Amarante,2011,0.6
Baião,2011,1.0
Castelo de Paiva,2011,0.7
Celorico de Basto,2011,0.9
Cinfães,2011,1.0
Felgueiras,2011,0.5
Lousada,2011,0.4
Marco de Canaveses,2011,0.6
Paços de Ferreira,2011,0.4
Penafiel,2011,0.5
Resende,2011,1.2
Alijó,2011,1.3
Armamar,2011,1.2
Carrazeda de Ansiães,2011,1.6
Freixo de Espada à Cinta,2011,1.5
Lamego,2011,0.8
Mesão Frio,2011,1.1
Moimenta da Beira,2011,1.0
Murça,2011,1.4
Penedono,2011,1.2
Peso da Régua,2011,0.9
Sabrosa,2011,1.1
Santa Marta de Penaguião,2011,1.1
São João da Pesqueira,2011,0.9
Sernancelhe,2011,1.2
Tabuaço,2011,1.1
Tarouca,2011,0.9
Torre de Moncorvo,2011,1.6
Vila Nova de Foz Côa,2011,1.2
Vila Real,2011,0.7
Alfândega da Fé,2011,1.5
Bragança,2011,0.9
Macedo de Cavaleiros,2011,1.1
Miranda do Douro,2011,1.3
Mirandela,2011,1.0
Mogadouro,2011,1.3
Vila Flor,2011,1.1
Vimioso,2011,1.7
Vinhais,2011,2.0
Alcobaça,2011,0.8
Alenquer,2011,0.6
Arruda dos Vinhos,2011,0.5
Bombarral,2011,0.8
Cadaval,2011,0.8
Caldas da Rainha,2011,0.7
Lourinhã,2011,0.6
Nazaré,2011,0.8
Óbidos,2011,0.7
Peniche,2011,0.7
