Municipality,Year,Value
Viseu,2010,504
Vouzela,2010,8
Castelo Branco,2010,195
Idanha-a-Nova,2010,6
Oleiros,2010,0
Penamacor,2010,7
Proença-a-Nova,2010,10
Vila Velha de Ródão,2010,2
Abrantes,2010,80
Alcanena,2010,14
Constância,2010,3
Entroncamento,2010,46
Ferreira do Zêzere,2010,2
Mação,2010,3
Ourém,2010,39
Sardoal,2010,4
Sertã,2010,14
Tomar,2010,84
Torres Novas,2010,89
Vila de Rei,2010,3
Vila Nova da Barquinha,2010,6
Almeida,2010,9
Belmonte,2010,7
Celorico da Beira,2010,3
Covilhã,2010,160
Figueira de Castelo Rodrigo,2010,11
Fornos de Algodres,2010,9
Fundão,2010,47
Gouveia,2010,30
Guarda,2010,181
Manteigas,2010,6
Mêda,2010,4
Pinhel,2010,13
Sabugal,2010,11
Seia,2010,45
Trancoso,2010,13
Alcochete,2010,37
Almada,2010,630
Amadora,2010,502
Barreiro,2010,204
Cascais,2010,1328
Lisboa,2010,7987
Loures,2010,722
Mafra,2010,128
Moita,2010,72
Montijo,2010,98
Odivelas,2010,392
Oeiras,2010,1485
Palmela,2010,134
Seixal,2010,250
Sesimbra,2010,68
Setúbal,2010,457
Sintra,2010,779
Vila Franca de Xira,2010,193
Alcácer do Sal,2010,8
Grândola,2010,11
Odemira,2010,14
Santiago do Cacém,2010,64
Sines,2010,28
Aljustrel,2010,11
Almodôvar,2010,3
Alvito,2010,4
Barrancos,2010,1
Beja,2010,163
Castro Verde,2010,4
Cuba,2010,6
Ferreira do Alentejo,2010,8
Mértola,2010,2
Moura,2010,17
Ourique,2010,6
Serpa,2010,15
Vidigueira,2010,6
Almeirim,2010,35
Alpiarça,2010,10
Azambuja,2010,18
Benavente,2010,29
Cartaxo,2010,43
Chamusca,2010,6
Coruche,2010,18
Golegã,2010,7
Rio Maior,2010,21
Salvaterra de Magos,2010,14
Santarém,2010,242
Alter do Chão,2010,4
Arronches,2010,6
Avis,2010,4
Campo Maior,2010,56
Castelo de Vide,2010,8
Crato,2010,2
Elvas,2010,109
Fronteira,2010,4
Gavião,2010,2
Marvão,2010,6
Monforte,2010,5
Nisa,2010,10
Ponte de Sor,2010,29
Portalegre,2010,110
Sousel,2010,4
Alandroal,2010,5
Arraiolos,2010,5
Borba,2010,9
Estremoz,2010,20
Évora,2010,298
Montemor-o-Novo,2010,18
Mora,2010,5
Mourão,2010,2
Portel,2010,2
Redondo,2010,6
Reguengos de Monsaraz,2010,11
Vendas Novas,2010,15
Viana do Alentejo,2010,5
Vila Viçosa,2010,13
Albufeira,2010,68
Alcoutim,2010,6
Aljezur,2010,6
Castro Marim,2010,10
Faro,2010,524
Lagoa,2010,62
Lagos,2010,71
Loulé,2010,124
Monchique,2010,3
Olhão,2010,79
Portimão,2010,275
São Brás de Alportel,2010,28
Silves,2010,35
Tavira,2010,52
Vila do Bispo,2010,3
Vila Real de Santo António,2010,33
Vila do Porto,2010,9
Lagoa [R.A.A.],2010,25
Nordeste,2010,5
Ponta Delgada,2010,262
Povoação,2010,5
Ribeira Grande,2010,25
Vila Franca do Campo,2010,6
Angra do Heroísmo,2010,97
Vila da Praia da Vitória,2010,31
Santa Cruz da Graciosa,2010,4
Calheta [R.A.A.],2010,3
Velas,2010,9
Lajes do Pico,2010,5
Madalena,2010,5
São Roque do Pico,2010,6
Horta,2010,40
Lajes das Flores,2010,0
Santa Cruz das Flores,2010,1
Corvo,2010,1
Calheta [R.A.M.],2010,6
Câmara de Lobos,2010,20
Funchal,2010,532
Machico,2010,25
Ponta do Sol,2010,1
Porto Moniz,2010,1
Ribeira Brava,2010,6
Santa Cruz,2010,84
Santana,2010,2
São Vicente,2010,5
Porto Santo,2010,1
Arcos de Valdevez,2011,36
Caminha,2011,60
Melgaço,2011,22
Monção,2011,54
Paredes de Coura,2011,7
Ponte da Barca,2011,23
Ponte de Lima,2011,71
Valença,2011,34
Viana do Castelo,2011,380
Vila Nova de Cerveira,2011,28
Amares,2011,25
Barcelos,2011,178
Braga,2011,985
Esposende,2011,80
Terras de Bouro,2011,3
Vila Verde,2011,48
Cabeceiras de Basto,2011,23
Fafe,2011,75
Guimarães,2011,391
Mondim de Basto,2011,7
Póvoa de Lanhoso,2011,26
Vieira do Minho,2011,12
Vila Nova de Famalicão,2011,255
Vizela,2011,39
Arouca,2011,22
Espinho,2011,159
Gondomar,2011,490
Maia,2011,741
Matosinhos,2011,1315
Oliveira de Azeméis,2011,107
Paredes,2011,92
Porto,2011,4303
Póvoa de Varzim,2011,268
Santa Maria da Feira,2011,272
Santo Tirso,2011,173
São João da Madeira,2011,67
Trofa,2011,82
Vale de Cambra,2011,42
Valongo,2011,235
Vila do Conde,2011,242
Vila Nova de Gaia,2011,1335
Boticas,2011,6
Chaves,2011,149
Montalegre,2011,8
Ribeira de Pena,2011,13
Valpaços,2011,61
Vila Pouca de Aguiar,2011,20
Amarante,2011,78
Baião,2011,19
Castelo de Paiva,2011,12
Celorico de Basto,2011,13
Cinfães,2011,16
Felgueiras,2011,50
Lousada,2011,30
Marco de Canaveses,2011,41
Paços de Ferreira,2011,61
Penafiel,2011,103
Resende,2011,8
Alijó,2011,7
Armamar,2011,3
Carrazeda de Ansiães,2011,6
Freixo de Espada à Cinta,2011,5
Lamego,2011,56
Mesão Frio,2011,8
Moimenta da Beira,2011,10
Murça,2011,1
Penedono,2011,2
Peso da Régua,2011,33
Sabrosa,2011,6
Santa Marta de Penaguião,2011,2
São João da Pesqueira,2011,8
Sernancelhe,2011,6
Tabuaço,2011,3
Tarouca,2011,8
Torre de Moncorvo,2011,7
Vila Nova de Foz Côa,2011,8
Vila Real,2011,241
Alfândega da Fé,2011,10
Bragança,2011,126
Macedo de Cavaleiros,2011,33
Miranda do Douro,2011,10
Mirandela,2011,71
Mogadouro,2011,13
Vila Flor,2011,7
Vimioso,2011,3
Vinhais,2011,5
Alcobaça,2011,58
Alenquer,2011,46
Arruda dos Vinhos,2011,21
Bombarral,2011,17
Cadaval,2011,4
Caldas da Rainha,2011,157
Lourinhã,2011,29
Nazaré,2011,18
Óbidos,2011,10
Peniche,2011,36
Sobral de Monte Agraço,2011,13
Torres Vedras,2011,147
Águeda,2011,87
Albergaria-a-Velha,2011,46
Anadia,2011,62
Aveiro,2011,371
Estarreja,2011,48
Ílhavo,2011,83
Murtosa,2011,14
Oliveira do Bairro,2011,45
Ovar,2011,134
Sever do Vouga,2011,15
Vagos,2011,38
Arganil,2011,10
Cantanhede,2011,75
Coimbra,2011,3710
Condeixa-a-Nova,2011,73
Figueira da Foz,2011,260
Góis,2011,1
Lousã,2011,17
Mealhada,2011,53
Mira,2011,23
Miranda do Corvo,2011,18
Montemor-o-Velho,2011,43
Mortágua,2011,17
Oliveira do Hospital,2011,27
Pampilhosa da Serra,2011,0
Penacova,2011,17
Penela,2011,7
Soure,2011,18
Tábua,2011,13
Vila Nova de Poiares,2011,6
Alvaiázere,2011,6
Ansião,2011,10
Batalha,2011,9
Castanheira de Pêra,2011,4
Figueiró dos Vinhos,2011,7
Leiria,2011,377
Marinha Grande,2011,35
Pedrógão Grande,2011,1
Pombal,2011,78
Porto de Mós,2011,19
Aguiar da Beira,2011,6
Carregal do Sal,2011,10
Castro Daire,2011,10
Mangualde,2011,27
Nelas,2011,26
Oliveira de Frades,2011,10
Penalva do Castelo,2011,4
Santa Comba Dão,2011,20
São Pedro do Sul,2011,31
Sátão,2011,14
Tondela,2011,47
Vila Nova de Paiva,2011,7
Viseu,2011,527
Vouzela,2011,8
Castelo Branco,2011,194
Idanha-a-Nova,2011,6
Oleiros,2011,0
Penamacor,2011,7
Proença-a-Nova,2011,10
Vila Velha de Ródão,2011,3
Abrantes,2011,88
Alcanena,2011,15
Constância,2011,2
Entroncamento,2011,51
Ferreira do Zêzere,2011,1
Mação,2011,5
Ourém,2011,43
Sardoal,2011,5
Sertã,2011,13
Tomar,2011,91
Torres Novas,2011,92
Vila de Rei,2011,3
Vila Nova da Barquinha,2011,6
Almeida,2011,12
Belmonte,2011,10
Celorico da Beira,2011,3
Covilhã,2011,167
Figueira de Castelo Rodrigo,2011,12
Fornos de Algodres,2011,9
Fundão,2011,50
Gouveia,2011,27
Guarda,2011,184
Manteigas,2011,6
Mêda,2011,5
Pinhel,2011,12
Sabugal,2011,12
Seia,2011,44
Trancoso,2011,14
Alcochete,2011,41
Almada,2011,653
Amadora,2011,507
Barreiro,2011,204
Cascais,2011,1357
Lisboa,2011,8205
Loures,2011,729
Mafra,2011,144
Moita,2011,68
Montijo,2011,105
Odivelas,2011,403
Oeiras,2011,1508
Palmela,2011,133
Seixal,2011,259
Sesimbra,2011,75
Setúbal,2011,476
Sintra,2011,792
Vila Franca de Xira,2011,197
Alcácer do Sal,2011,9
Grândola,2011,10
Odemira,2011,14
Santiago do Cacém,2011,67
Sines,2011,30
Aljustrel,2011,11
Almodôvar,2011,2
Alvito,2011,3
Barrancos,2011,2
Beja,2011,161
Castro Verde,2011,4
Cuba,2011,6
Ferreira do Alentejo,2011,9
Mértola,2011,2
Moura,2011,18
Ourique,2011,6
Serpa,2011,16
Vidigueira,2011,6
Almeirim,2011,37
Alpiarça,2011,10
Azambuja,2011,22
Benavente,2011,30
Cartaxo,2011,46
Chamusca,2011,7
Coruche,2011,21
Golegã,2011,8
Rio Maior,2011,23
Salvaterra de Magos,2011,16
Santarém,2011,246
Alter do Chão,2011,5
Arronches,2011,7
Avis,2011,4
Campo Maior,2011,54
Castelo de Vide,2011,8
Crato,2011,2
Elvas,2011,111
Fronteira,2011,4
Gavião,2011,2
Marvão,2011,7
Monforte,2011,5
Nisa,2011,10
Ponte de Sor,2011,28
Portalegre,2011,111
Sousel,2011,6
Alandroal,2011,4
Arraiolos,2011,4
Borba,2011,9
Estremoz,2011,19
Évora,2011,320
Montemor-o-Novo,2011,19
Mora,2011,5
Mourão,2011,2
Portel,2011,3
Redondo,2011,6
Reguengos de Monsaraz,2011,11
Vendas Novas,2011,15
Viana do Alentejo,2011,5
Vila Viçosa,2011,13
Albufeira,2011,79
Alcoutim,2011,6
Aljezur,2011,6
Castro Marim,2011,10
Faro,2011,531
Lagoa,2011,68
Lagos,2011,80
Loulé,2011,137
Monchique,2011,3
Olhão,2011,81
Portimão,2011,280
São Brás de Alportel,2011,31
Silves,2011,38
Tavira,2011,54
Vila do Bispo,2011,5
Vila Real de Santo António,2011,33
Vila do Porto,2011,9
Lagoa [R.A.A.],2011,25
Nordeste,2011,4
Ponta Delgada,2011,288
Povoação,2011,5
Ribeira Grande,2011,29
Vila Franca do Campo,2011,6
Angra do Heroísmo,2011,103
Vila da Praia da Vitória,2011,33
Santa Cruz da Graciosa,2011,3
Calheta [R.A.A.],2011,3
Velas,2011,9
Lajes do Pico,2011,6
Madalena,2011,4
São Roque do Pico,2011,6
Horta,2011,41
Lajes das Flores,2011,0
Santa Cruz das Flores,2011,1
Corvo,2011,1
Calheta [R.A.M.],2011,5
Câmara de Lobos,2011,24
Funchal,2011,542
Machico,2011,26
Ponta do Sol,2011,1
Porto Moniz,2011,1
Ribeira Brava,2011,7
Santa Cruz,2011,90
Santana,2011,3
São Vicente,2011,5
Porto Santo,2011,2
Arcos de Valdevez,2012,37
Caminha,2012,61
Melgaço,2012,21
Monção,2012,46
Paredes de Coura,2012,8
Ponte da Barca,2012,21
Ponte de Lima,2012,72
Valença,2012,22
Viana do Castelo,2012,378
Vila Nova de Cerveira,2012,27
Amares,2012,29
Barcelos,2012,188
Braga,2012,1015
Esposende,2012,88
Terras de Bouro,2012,3
Vila Verde,2012,47
Cabeceiras de Basto,2012,25
Fafe,2012,89
Guimarães,2012,413
Mondim de Basto,2012,7
Póvoa de Lanhoso,2012,28
Vieira do Minho,2012,12
Vila Nova de Famalicão,2012,276
Vizela,2012,38
Arouca,2012,21
Espinho,2012,163
Gondomar,2012,511
Maia,2012,762
Matosinhos,2012,1357
Oliveira de Azeméis,2012,115
Paredes,2012,101
Porto,2012,4256
Póvoa de Varzim,2012,277
Santa Maria da Feira,2012,275
Santo Tirso,2012,177
São João da Madeira,2012,68
Trofa,2012,92
Vale de Cambra,2012,47
Valongo,2012,244
Vila do Conde,2012,254
Vila Nova de Gaia,2012,1363
Boticas,2012,6
Chaves,2012,149
Montalegre,2012,9
Ribeira de Pena,2012,10
Valpaços,2012,38
Vila Pouca de Aguiar,2012,20
Amarante,2012,86
Baião,2012,18
Castelo de Paiva,2012,12
Celorico de Basto,2012,15
Cinfães,2012,18
Felgueiras,2012,56
Lousada,2012,31
Marco de Canaveses,2012,42
Paços de Ferreira,2012,68
Penafiel,2012,102
Resende,2012,10
Alijó,2012,7
Armamar,2012,3
Carrazeda de Ansiães,2012,3
Freixo de Espada à Cinta,2012,3
Lamego,2012,57
Mesão Frio,2012,8
Moimenta da Beira,2012,9
Murça,2012,2
Penedono,2012,3
Peso da Régua,2012,33
Sabrosa,2012,6
Santa Marta de Penaguião,2012,2
São João da Pesqueira,2012,8
Sernancelhe,2012,7
Tabuaço,2012,3
Tarouca,2012,9
Torre de Moncorvo,2012,8
Vila Nova de Foz Côa,2012,8
Vila Real,2012,255
Alfândega da Fé,2012,10
Bragança,2012,132
Macedo de Cavaleiros,2012,32
Miranda do Douro,2012,10
Mirandela,2012,66
Mogadouro,2012,15
Vila Flor,2012,7
Vimioso,2012,4
Vinhais,2012,5
Alcobaça,2012,60
Alenquer,2012,48
Arruda dos Vinhos,2012,21
Bombarral,2012,17
Cadaval,2012,4
Caldas da Rainha,2012,159
Lourinhã,2012,30
Nazaré,2012,20
Óbidos,2012,13
Peniche,2012,36
Sobral de Monte Agraço,2012,13
Torres Vedras,2012,157
Águeda,2012,90
Albergaria-a-Velha,2012,48
Anadia,2012,67
Aveiro,2012,379
Estarreja,2012,50
Ílhavo,2012,86
Murtosa,2012,16
Oliveira do Bairro,2012,48
Ovar,2012,142
Sever do Vouga,2012,15
Vagos,2012,40
Arganil,2012,9
Cantanhede,2012,80
Coimbra,2012,3830
Condeixa-a-Nova,2012,78
Figueira da Foz,2012,265
Góis,2012,2
Lousã,2012,19
Mealhada,2012,53
Mira,2012,24
Miranda do Corvo,2012,19
Montemor-o-Velho,2012,47
Mortágua,2012,17
Oliveira do Hospital,2012,30
Pampilhosa da Serra,2012,0
Penacova,2012,20
Penela,2012,6
Soure,2012,21
Tábua,2012,13
Vila Nova de Poiares,2012,5
Alvaiázere,2012,7
Ansião,2012,10
Batalha,2012,10
Castanheira de Pêra,2012,4
Figueiró dos Vinhos,2012,7
Leiria,2012,397
Marinha Grande,2012,31
Pedrógão Grande,2012,1
Pombal,2012,88
Porto de Mós,2012,20
Aguiar da Beira,2012,6
Carregal do Sal,2012,11
Castro Daire,2012,11
Mangualde,2012,26
Nelas,2012,26
Oliveira de Frades,2012,12
Penalva do Castelo,2012,5
Santa Comba Dão,2012,21
São Pedro do Sul,2012,32
Sátão,2012,16
Tondela,2012,47
Vila Nova de Paiva,2012,6
Viseu,2012,544
Vouzela,2012,11
Castelo Branco,2012,204
Idanha-a-Nova,2012,6
Oleiros,2012,0
Penamacor,2012,8
Proença-a-Nova,2012,9
Vila Velha de Ródão,2012,3
Abrantes,2012,93
Alcanena,2012,18
Constância,2012,2
Entroncamento,2012,54
Ferreira do Zêzere,2012,2
Mação,2012,5
Ourém,2012,48
Sardoal,2012,6
Sertã,2012,13
Tomar,2012,89
Torres Novas,2012,96
Vila de Rei,2012,3
Vila Nova da Barquinha,2012,6
Almeida,2012,14
Belmonte,2012,9
Celorico da Beira,2012,3
Covilhã,2012,167
Figueira de Castelo Rodrigo,2012,11
Fornos de Algodres,2012,10
Fundão,2012,49
Gouveia,2012,25
Guarda,2012,186
Manteigas,2012,6
Mêda,2012,6
Pinhel,2012,12
