Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Outros Violencia Domestica,Elvas,,10.0,12.0,4.0,4.0,8.0,7.0,8.0,12.0,5.0,5.0,4.0
Violencia Domestica Conjuge ou Analogo,Fronteira,6.0,8.0,7.0,6.0,4.0,6.0,8.0,9.0,3.0,3.0,6.0,
Violencia Domestica Menores,Fronteira,,,,,,,,,,,,
Outros Violencia Domestica,Fronteira,4.0,,3.0,,,,,,3.0,4.0,,
Violencia Domestica Conjuge ou Analogo,Gavião,6.0,9.0,7.0,5.0,3.0,8.0,4.0,8.0,17.0,5.0,6.0,6.0
Violencia Domestica Menores,Gavião,,,,,,,,,,,,
Outros Violencia Domestica,Gavião,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Marvão,6.0,,,4.0,6.0,4.0,7.0,7.0,5.0,8.0,12.0,8.0
Violencia Domestica Menores,Marvão,,,,,,,,,,,,
Outros Violencia Domestica,Marvão,3.0,,,,,,,,,,5.0,
Violencia Domestica Conjuge ou Analogo,Monforte,,,,,4.0,5.0,3.0,3.0,3.0,3.0,7.0,7.0
Violencia Domestica Menores,Monforte,,,,,,,,,,,,
Outros Violencia Domestica,Monforte,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Nisa,,9.0,7.0,6.0,7.0,14.0,3.0,7.0,12.0,7.0,12.0,4.0
Violencia Domestica Menores,Nisa,,,,,,,,,,,,
Outros Violencia Domestica,Nisa,,,,,,,,,,3.0,6.0,5.0
Violencia Domestica Conjuge ou Analogo,Ponte de Sor,17.0,24.0,39.0,36.0,33.0,31.0,28.0,54.0,68.0,41.0,34.0,28.0
Violencia Domestica Menores,Ponte de Sor,,,,,,,,,,,,
Outros Violencia Domestica,Ponte de Sor,4.0,13.0,4.0,5.0,9.0,6.0,5.0,4.0,,,6.0,
Violencia Domestica Conjuge ou Analogo,Portalegre,46.0,60.0,45.0,49.0,29.0,66.0,51.0,53.0,42.0,61.0,65.0,75.0
Violencia Domestica Menores,Portalegre,,,4.0,,,,,,3.0,,,
Outros Violencia Domestica,Portalegre,3.0,3.0,14.0,10.0,10.0,4.0,,4.0,8.0,5.0,5.0,3.0
Violencia Domestica Conjuge ou Analogo,Sousel,4.0,7.0,4.0,,4.0,,4.0,6.0,12.0,17.0,14.0,5.0
Violencia Domestica Menores,Sousel,,,,,,,,,,,,
Outros Violencia Domestica,Sousel,,,,,,,,,,,,4.0
Violencia Domestica Conjuge ou Analogo,Amarante,121.0,171.0,149.0,123.0,100.0,121.0,129.0,140.0,118.0,125.0,90.0,107.0
Violencia Domestica Menores,Amarante,,3.0,,,,,,,,,,
Outros Violencia Domestica,Amarante,5.0,21.0,16.0,19.0,27.0,6.0,5.0,3.0,7.0,4.0,,10.0
Violencia Domestica Conjuge ou Analogo,Baião,51.0,50.0,66.0,60.0,47.0,51.0,55.0,61.0,66.0,58.0,64.0,35.0
Violencia Domestica Menores,Baião,,,,,,,,,,,,
Outros Violencia Domestica,Baião,5.0,15.0,13.0,13.0,24.0,17.0,20.0,3.0,14.0,4.0,4.0,8.0
Violencia Domestica Conjuge ou Analogo,Felgueiras,77.0,97.0,99.0,96.0,88.0,82.0,97.0,80.0,83.0,90.0,101.0,98.0
Violencia Domestica Menores,Felgueiras,3.0,4.0,,6.0,4.0,,,,,,,
Outros Violencia Domestica,Felgueiras,7.0,17.0,38.0,31.0,21.0,42.0,36.0,27.0,27.0,29.0,16.0,26.0
Violencia Domestica Conjuge ou Analogo,Gondomar,489.0,614.0,522.0,455.0,409.0,378.0,339.0,327.0,359.0,388.0,388.0,437.0
Violencia Domestica Menores,Gondomar,7.0,21.0,12.0,9.0,4.0,5.0,,4.0,6.0,4.0,6.0,4.0
Outros Violencia Domestica,Gondomar,88.0,89.0,109.0,107.0,59.0,77.0,100.0,67.0,59.0,77.0,41.0,63.0
Violencia Domestica Conjuge ou Analogo,Lousãada,56.0,65.0,107.0,82.0,82.0,67.0,66.0,67.0,69.0,72.0,65.0,76.0
Violencia Domestica Menores,Lousãada,,,3.0,9.0,,,4.0,,,,,
Outros Violencia Domestica,Lousãada,,6.0,10.0,3.0,12.0,24.0,18.0,22.0,21.0,14.0,10.0,11.0
Violencia Domestica Conjuge ou Analogo,Maia,268.0,346.0,365.0,324.0,319.0,245.0,209.0,248.0,265.0,236.0,206.0,239.0
Violencia Domestica Menores,Maia,3.0,,4.0,6.0,,4.0,5.0,4.0,,3.0,,4.0
Outros Violencia Domestica,Maia,48.0,40.0,53.0,56.0,27.0,21.0,37.0,34.0,27.0,30.0,14.0,27.0
Violencia Domestica Conjuge ou Analogo,Marco de Canaveses,81.0,85.0,135.0,111.0,111.0,86.0,103.0,87.0,82.0,102.0,95.0,102.0
Violencia Domestica Menores,Marco de Canaveses,,,,,,,,,,,,
Outros Violencia Domestica,Marco de Canaveses,3.0,3.0,8.0,8.0,7.0,,7.0,14.0,8.0,7.0,8.0,16.0
Violencia Domestica Conjuge ou Analogo,Matosinhos,528.0,577.0,476.0,540.0,443.0,420.0,480.0,409.0,420.0,397.0,430.0,384.0
Violencia Domestica Menores,Matosinhos,12.0,6.0,9.0,10.0,4.0,6.0,,,4.0,,4.0,6.0
Outros Violencia Domestica,Matosinhos,59.0,66.0,43.0,51.0,31.0,18.0,28.0,37.0,33.0,34.0,40.0,44.0
Violencia Domestica Conjuge ou Analogo,Paços de Ferreira,62.0,82.0,118.0,100.0,75.0,77.0,86.0,120.0,105.0,105.0,91.0,94.0
Violencia Domestica Menores,Paços de Ferreira,,,3.0,,4.0,,,,,,3.0,
Outros Violencia Domestica,Paços de Ferreira,11.0,4.0,9.0,14.0,15.0,13.0,8.0,,8.0,3.0,9.0,14.0
Violencia Domestica Conjuge ou Analogo,Paredes,125.0,171.0,239.0,175.0,181.0,203.0,177.0,167.0,195.0,196.0,185.0,181.0
Violencia Domestica Menores,Paredes,,3.0,,13.0,,,,,4.0,,,
Outros Violencia Domestica,Paredes,5.0,18.0,36.0,42.0,16.0,32.0,52.0,27.0,32.0,16.0,18.0,19.0
Violencia Domestica Conjuge ou Analogo,Penafiel,176.0,128.0,133.0,125.0,119.0,142.0,142.0,117.0,110.0,113.0,144.0,163.0
Violencia Domestica Menores,Penafiel,4.0,,7.0,,,,,,,6.0,,
Outros Violencia Domestica,Penafiel,31.0,27.0,44.0,22.0,38.0,58.0,78.0,56.0,58.0,45.0,27.0,22.0
Violencia Domestica Conjuge ou Analogo,Porto,1121.0,1223.0,1228.0,1277.0,1006.0,937.0,905.0,806.0,775.0,730.0,630.0,744.0
Violencia Domestica Menores,Porto,37.0,43.0,33.0,40.0,25.0,24.0,9.0,11.0,13.0,15.0,9.0,21.0
Outros Violencia Domestica,Porto,326.0,324.0,237.0,215.0,140.0,164.0,164.0,160.0,161.0,172.0,186.0,198.0
Violencia Domestica Conjuge ou Analogo,Póvoa de Varzim,114.0,118.0,135.0,130.0,145.0,162.0,164.0,135.0,151.0,156.0,141.0,176.0
Violencia Domestica Menores,Póvoa de Varzim,5.0,,3.0,7.0,,,,,,4.0,3.0,
Outros Violencia Domestica,Póvoa de Varzim,32.0,11.0,13.0,16.0,21.0,17.0,19.0,17.0,16.0,15.0,25.0,33.0
Violencia Domestica Conjuge ou Analogo,Santo Tirso,138.0,139.0,168.0,129.0,123.0,101.0,135.0,131.0,136.0,103.0,135.0,126.0
Violencia Domestica Menores,Santo Tirso,6.0,,,,,,,,3.0,,,
Outros Violencia Domestica,Santo Tirso,18.0,20.0,30.0,31.0,22.0,7.0,9.0,12.0,20.0,15.0,14.0,15.0
Violencia Domestica Conjuge ou Analogo,Trofa,53.0,69.0,80.0,80.0,65.0,53.0,63.0,62.0,72.0,51.0,81.0,59.0
Violencia Domestica Menores,Trofa,4.0,5.0,4.0,3.0,,3.0,,,,,,
Outros Violencia Domestica,Trofa,,7.0,7.0,20.0,,,,,5.0,6.0,7.0,5.0
Violencia Domestica Conjuge ou Analogo,Valongo,224.0,291.0,241.0,189.0,240.0,220.0,223.0,186.0,193.0,183.0,178.0,214.0
Violencia Domestica Menores,Valongo,3.0,7.0,6.0,4.0,6.0,3.0,5.0,,3.0,,,3.0
Outros Violencia Domestica,Valongo,32.0,38.0,46.0,20.0,21.0,28.0,43.0,26.0,12.0,23.0,17.0,23.0
Violencia Domestica Conjuge ou Analogo,Vila do Conde,151.0,182.0,162.0,150.0,143.0,140.0,151.0,164.0,168.0,159.0,165.0,201.0
Violencia Domestica Menores,Vila do Conde,5.0,4.0,5.0,10.0,,,,,3.0,,,
Outros Violencia Domestica,Vila do Conde,42.0,38.0,32.0,34.0,15.0,23.0,21.0,12.0,5.0,6.0,6.0,16.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Gaia,940.0,1016.0,969.0,932.0,836.0,935.0,829.0,738.0,770.0,730.0,811.0,801.0
Violencia Domestica Menores,Vila Nova de Gaia,17.0,33.0,17.0,16.0,10.0,11.0,12.0,10.0,18.0,6.0,22.0,12.0
Outros Violencia Domestica,Vila Nova de Gaia,153.0,130.0,108.0,115.0,85.0,98.0,83.0,75.0,76.0,83.0,113.0,149.0
Violencia Domestica Conjuge ou Analogo,Abrantes,62.0,63.0,72.0,66.0,70.0,51.0,74.0,81.0,76.0,45.0,64.0,69.0
Violencia Domestica Menores,Abrantes,,6.0,,,,3.0,,,,,,4.0
Outros Violencia Domestica,Abrantes,,10.0,17.0,13.0,13.0,12.0,10.0,17.0,17.0,10.0,9.0,11.0
Violencia Domestica Conjuge ou Analogo,Alcanena,18.0,15.0,12.0,10.0,18.0,24.0,21.0,29.0,21.0,22.0,22.0,18.0
Violencia Domestica Menores,Alcanena,,,,,,,,,,,,
Outros Violencia Domestica,Alcanena,,,,,,,3.0,6.0,8.0,,8.0,3.0
Violencia Domestica Conjuge ou Analogo,Almeirim,38.0,34.0,34.0,33.0,19.0,19.0,21.0,21.0,15.0,22.0,28.0,48.0
Violencia Domestica Menores,Almeirim,,,,3.0,,,,,,,,
Outros Violencia Domestica,Almeirim,,3.0,6.0,6.0,,4.0,5.0,,,,3.0,7.0
Violencia Domestica Conjuge ou Analogo,Alpiarça,6.0,6.0,9.0,9.0,13.0,13.0,9.0,8.0,12.0,3.0,3.0,18.0
Violencia Domestica Menores,Alpiarça,3.0,,,,,,,,,,,
Outros Violencia Domestica,Alpiarça,,,,,4.0,4.0,,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Benavente,55.0,43.0,74.0,77.0,63.0,64.0,52.0,66.0,52.0,58.0,68.0,78.0
Violencia Domestica Menores,Benavente,4.0,3.0,,,,5.0,,6.0,,,,4.0
Outros Violencia Domestica,Benavente,9.0,8.0,16.0,13.0,8.0,17.0,10.0,11.0,5.0,3.0,12.0,5.0
Violencia Domestica Conjuge ou Analogo,Cartaxo,26.0,41.0,35.0,44.0,59.0,44.0,57.0,52.0,45.0,31.0,42.0,41.0
Violencia Domestica Menores,Cartaxo,,,3.0,,,,,,,3.0,6.0,
Outros Violencia Domestica,Cartaxo,6.0,3.0,4.0,23.0,12.0,11.0,4.0,9.0,3.0,3.0,5.0,13.0
Violencia Domestica Conjuge ou Analogo,Chamusca,19.0,16.0,17.0,19.0,30.0,25.0,20.0,5.0,11.0,13.0,21.0,18.0
Violencia Domestica Menores,Chamusca,,,,,,,,,,,,
Outros Violencia Domestica,Chamusca,,3.0,5.0,,,,8.0,4.0,8.0,4.0,3.0,
Violencia Domestica Conjuge ou Analogo,Constância,,,7.0,4.0,6.0,9.0,4.0,11.0,6.0,7.0,3.0,6.0
Violencia Domestica Menores,Constância,,,,,,,,,,,,
Outros Violencia Domestica,Constância,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Coruche,13.0,30.0,26.0,25.0,41.0,26.0,30.0,33.0,28.0,24.0,17.0,27.0
Violencia Domestica Menores,Coruche,3.0,,,,,,,3.0,,,,
Outros Violencia Domestica,Coruche,4.0,,8.0,6.0,8.0,5.0,,3.0,5.0,,4.0,4.0
Violencia Domestica Conjuge ou Analogo,Entroncamento,30.0,38.0,25.0,42.0,42.0,41.0,34.0,34.0,37.0,50.0,28.0,61.0
Violencia Domestica Menores,Entroncamento,,,,,,,,,,4.0,,
Outros Violencia Domestica,Entroncamento,,5.0,7.0,9.0,5.0,10.0,,12.0,7.0,4.0,5.0,8.0
Violencia Domestica Conjuge ou Analogo,Ferreira do Zêzere,21.0,37.0,26.0,15.0,8.0,18.0,13.0,11.0,7.0,10.0,14.0,10.0
Violencia Domestica Menores,Ferreira do Zêzere,,,,,,,,,,,,
Outros Violencia Domestica,Ferreira do Zêzere,,9.0,4.0,6.0,,,,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Golegã,5.0,7.0,9.0,5.0,7.0,5.0,8.0,5.0,10.0,7.0,8.0,11.0
Outros Violencia Domestica,Golegã,,,,,,,,4.0,,,3.0,
Violencia Domestica Conjuge ou Analogo,Mação,11.0,10.0,6.0,6.0,7.0,12.0,5.0,5.0,11.0,7.0,8.0,7.0
Violencia Domestica Menores,Mação,,,,,,,,,,,,
Outros Violencia Domestica,Mação,,7.0,4.0,,,,,4.0,4.0,,,
Violencia Domestica Conjuge ou Analogo,Rio Maior,26.0,41.0,33.0,27.0,26.0,40.0,22.0,51.0,41.0,42.0,44.0,54.0
Violencia Domestica Menores,Rio Maior,,,,,,,,,,,,
Outros Violencia Domestica,Rio Maior,3.0,4.0,12.0,,4.0,7.0,6.0,13.0,8.0,8.0,6.0,5.0
Violencia Domestica Conjuge ou Analogo,Salvaterra de Magos,52.0,60.0,62.0,39.0,29.0,40.0,35.0,25.0,32.0,30.0,30.0,51.0
Violencia Domestica Menores,Salvaterra de Magos,,,,,,,,,,,,
Outros Violencia Domestica,Salvaterra de Magos,10.0,11.0,12.0,11.0,8.0,4.0,9.0,3.0,,4.0,6.0,6.0
Violencia Domestica Conjuge ou Analogo,Santarém,100.0,71.0,133.0,129.0,137.0,135.0,126.0,109.0,97.0,132.0,108.0,180.0
Violencia Domestica Menores,Santarém,,3.0,4.0,,3.0,,3.0,,4.0,,,
Outros Violencia Domestica,Santarém,7.0,9.0,12.0,15.0,20.0,22.0,22.0,12.0,20.0,18.0,14.0,19.0
Violencia Domestica Conjuge ou Analogo,Sardoal,,3.0,5.0,3.0,,3.0,,7.0,5.0,5.0,4.0,9.0
Violencia Domestica Menores,Sardoal,,,,,,,,3.0,,,,
Outros Violencia Domestica,Sardoal,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Tomar,44.0,94.0,89.0,82.0,92.0,125.0,110.0,98.0,98.0,62.0,48.0,68.0
Violencia Domestica Menores,Tomar,7.0,6.0,,,3.0,7.0,3.0,,,,,
Outros Violencia Domestica,Tomar,15.0,16.0,19.0,18.0,22.0,21.0,10.0,14.0,18.0,19.0,14.0,8.0
Violencia Domestica Conjuge ou Analogo,Torres Novas,41.0,70.0,51.0,53.0,79.0,77.0,67.0,88.0,73.0,49.0,41.0,62.0
Violencia Domestica Menores,Torres Novas,,,3.0,,,,7.0,4.0,3.0,,,
Outros Violencia Domestica,Torres Novas,8.0,9.0,17.0,24.0,23.0,16.0,15.0,13.0,8.0,5.0,7.0,9.0
Violencia Domestica Conjuge ou Analogo,Vila Nova da Barquinha,8.0,4.0,9.0,5.0,7.0,5.0,10.0,6.0,6.0,5.0,3.0,8.0
Violencia Domestica Menores,Vila Nova da Barquinha,,,,,,,,,,,,
Outros Violencia Domestica,Vila Nova da Barquinha,,,,,,,,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Ourém,75.0,71.0,98.0,110.0,70.0,62.0,64.0,80.0,78.0,74.0,48.0,71.0
Violencia Domestica Menores,Ourém,,,,3.0,,,,,,,,
Outros Violencia Domestica,Ourém,10.0,,5.0,5.0,14.0,3.0,9.0,6.0,7.0,10.0,3.0,14.0
Violencia Domestica Conjuge ou Analogo,Alcácer do Sal,15.0,28.0,24.0,17.0,16.0,17.0,16.0,20.0,24.0,21.0,45.0,34.0
Violencia Domestica Menores,Alcácer do Sal,,,,,,,,,,,,
Outros Violencia Domestica,Alcácer do Sal,,,,3.0,,3.0,,3.0,,3.0,8.0,10.0
Violencia Domestica Conjuge ou Analogo,Alcochete,35.0,37.0,38.0,53.0,55.0,39.0,38.0,27.0,43.0,38.0,38.0,42.0
Violencia Domestica Menores,Alcochete,,,4.0,3.0,,3.0,,,,,,
Outros Violencia Domestica,Alcochete,3.0,11.0,5.0,4.0,10.0,3.0,4.0,4.0,7.0,4.0,4.0,5.0
Violencia Domestica Conjuge ou Analogo,Almada,166.0,295.0,426.0,353.0,356.0,416.0,421.0,456.0,397.0,428.0,422.0,444.0
Violencia Domestica Menores,Almada,7.0,8.0,7.0,11.0,10.0,5.0,5.0,3.0,5.0,,6.0,8.0
Outros Violencia Domestica,Almada,36.0,42.0,37.0,49.0,48.0,45.0,36.0,64.0,67.0,62.0,82.0,67.0
Violencia Domestica Conjuge ou Analogo,Barreiro,132.0,185.0,216.0,262.0,225.0,214.0,174.0,220.0,203.0,195.0,245.0,305.0
Violencia Domestica Menores,Barreiro,6.0,5.0,8.0,3.0,4.0,9.0,11.0,8.0,9.0,7.0,12.0,16.0
Outros Violencia Domestica,Barreiro,21.0,47.0,48.0,57.0,58.0,54.0,48.0,44.0,43.0,55.0,45.0,61.0
Violencia Domestica Conjuge ou Analogo,Grândola,14.0,17.0,23.0,29.0,13.0,27.0,36.0,33.0,27.0,35.0,31.0,42.0
Violencia Domestica Menores,Grândola,,,,,,,,,,,,
Outros Violencia Domestica,Grândola,,,5.0,4.0,5.0,8.0,5.0,5.0,8.0,5.0,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Moita,170.0,184.0,204.0,149.0,195.0,201.0,185.0,186.0,125.0,150.0,154.0,187.0
Violencia Domestica Menores,Moita,10.0,3.0,3.0,5.0,9.0,5.0,4.0,5.0,8.0,7.0,,4.0
Outros Violencia Domestica,Moita,15.0,18.0,20.0,34.0,38.0,42.0,38.0,31.0,39.0,20.0,36.0,45.0
Violencia Domestica Conjuge ou Analogo,Montijo,94.0,66.0,136.0,108.0,107.0,93.0,123.0,102.0,112.0,131.0,141.0,135.0
Violencia Domestica Menores,Montijo,,6.0,4.0,,3.0,3.0,,4.0,3.0,,4.0,3.0
Outros Violencia Domestica,Montijo,15.0,16.0,24.0,12.0,15.0,25.0,29.0,26.0,30.0,25.0,21.0,32.0
Violencia Domestica Conjuge ou Analogo,Palmela,130.0,185.0,133.0,90.0,97.0,119.0,131.0,103.0,139.0,103.0,128.0,160.0
Violencia Domestica Menores,Palmela,6.0,14.0,3.0,,3.0,4.0,,,7.0,3.0,5.0,4.0
Outros Violencia Domestica,Palmela,13.0,16.0,4.0,7.0,19.0,12.0,11.0,12.0,16.0,15.0,17.0,26.0
Violencia Domestica Conjuge ou Analogo,Santiago do Cacém,22.0,36.0,44.0,32.0,34.0,44.0,46.0,35.0,34.0,27.0,39.0,47.0
Violencia Domestica Menores,Santiago do Cacém,,,,,,3.0,,,3.0,,,
Outros Violencia Domestica,Santiago do Cacém,5.0,10.0,11.0,5.0,7.0,11.0,9.0,7.0,11.0,7.0,15.0,11.0
Violencia Domestica Conjuge ou Analogo,Seixal,238.0,287.0,384.0,382.0,322.0,389.0,369.0,349.0,368.0,356.0,347.0,368.0
Violencia Domestica Menores,Seixal,7.0,5.0,6.0,9.0,7.0,6.0,8.0,8.0,3.0,5.0,12.0,6.0
Outros Violencia Domestica,Seixal,32.0,51.0,81.0,67.0,62.0,53.0,52.0,47.0,65.0,51.0,65.0,91.0
Violencia Domestica Conjuge ou Analogo,Sesimbra,44.0,83.0,91.0,112.0,152.0,184.0,112.0,101.0,93.0,106.0,107.0,137.0
Violencia Domestica Menores,Sesimbra,7.0,3.0,4.0,4.0,3.0,,3.0,,4.0,6.0,5.0,3.0
Outros Violencia Domestica,Sesimbra,9.0,15.0,30.0,15.0,30.0,10.0,31.0,9.0,9.0,15.0,18.0,25.0
Violencia Domestica Conjuge ou Analogo,Setúbal,199.0,252.0,297.0,313.0,298.0,260.0,288.0,261.0,273.0,323.0,293.0,384.0
Violencia Domestica Menores,Setúbal,8.0,6.0,7.0,14.0,9.0,4.0,10.0,5.0,3.0,,5.0,8.0
Outros Violencia Domestica,Setúbal,25.0,34.0,34.0,49.0,38.0,36.0,25.0,47.0,33.0,54.0,53.0,63.0
Violencia Domestica Conjuge ou Analogo,Sines,8.0,17.0,17.0,19.0,42.0,38.0,46.0,33.0,37.0,31.0,40.0,44.0
Violencia Domestica Menores,Sines,,,,,,,,,,3.0,,
Outros Violencia Domestica,Sines,,4.0,3.0,,,,5.0,12.0,9.0,6.0,3.0,6.0
Violencia Domestica Conjuge ou Analogo,Arcos de Valdevez,44.0,49.0,55.0,44.0,36.0,43.0,28.0,45.0,58.0,55.0,41.0,62.0
Violencia Domestica Menores,Arcos de Valdevez,,,,,,,,,,,,
Outros Violencia Domestica,Arcos de Valdevez,15.0,6.0,11.0,10.0,9.0,5.0,,3.0,5.0,,,7.0
Violencia Domestica Conjuge ou Analogo,Caminha,15.0,29.0,14.0,11.0,22.0,9.0,27.0,34.0,27.0,33.0,31.0,33.0
Violencia Domestica Menores,Caminha,,,,,,,,,,,,
Outros Violencia Domestica,Caminha,7.0,,13.0,,3.0,,4.0,,3.0,3.0,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Melgaço,9.0,26.0,23.0,5.0,5.0,9.0,10.0,11.0,11.0,10.0,12.0,14.0
Violencia Domestica Menores,Melgaço,,,,,,,,,,,,
Outros Violencia Domestica,Melgaço,4.0,,,,,,,,6.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Monção,12.0,13.0,18.0,26.0,17.0,20.0,19.0,16.0,21.0,23.0,18.0,21.0
Violencia Domestica Menores,Monção,,,,,,,,,,,,
Outros Violencia Domestica,Monção,,,,3.0,7.0,15.0,3.0,6.0,,5.0,4.0,3.0
Violencia Domestica Conjuge ou Analogo,Paredes de Coura,5.0,7.0,26.0,17.0,14.0,15.0,21.0,8.0,10.0,8.0,24.0,11.0
Violencia Domestica Menores,Paredes de Coura,,,,,,3.0,,,,,,
Outros Violencia Domestica,Paredes de Coura,,,3.0,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Ponte da Barca,14.0,26.0,26.0,22.0,21.0,16.0,9.0,9.0,22.0,26.0,37.0,21.0
Violencia Domestica Menores,Ponte da Barca,,,,,,,,,,,,
Outros Violencia Domestica,Ponte da Barca,4.0,,,5.0,9.0,9.0,4.0,5.0,4.0,8.0,5.0,7.0
Violencia Domestica Conjuge ou Analogo,Ponte de Lima,67.0,79.0,59.0,66.0,37.0,83.0,64.0,57.0,49.0,56.0,82.0,71.0
Violencia Domestica Menores,Ponte de Lima,,,7.0,,3.0,,,,,,,
Outros Violencia Domestica,Ponte de Lima,15.0,14.0,6.0,9.0,8.0,5.0,7.0,6.0,8.0,10.0,18.0,11.0
Violencia Domestica Conjuge ou Analogo,Valença,28.0,32.0,36.0,35.0,47.0,21.0,35.0,52.0,40.0,36.0,42.0,44.0
Violencia Domestica Menores,Valença,,,,,3.0,,,,,,,
Outros Violencia Domestica,Valença,15.0,9.0,13.0,8.0,8.0,11.0,8.0,6.0,6.0,,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Viana do Castelo,180.0,193.0,198.0,195.0,175.0,180.0,206.0,212.0,202.0,179.0,211.0,249.0
Violencia Domestica Menores,Viana do Castelo,7.0,4.0,3.0,,,,3.0,5.0,,,6.0,4.0
Outros Violencia Domestica,Viana do Castelo,24.0,33.0,51.0,41.0,27.0,29.0,19.0,15.0,18.0,5.0,14.0,21.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Cerveira,10.0,7.0,17.0,9.0,19.0,16.0,21.0,22.0,15.0,28.0,20.0,31.0
Violencia Domestica Menores,Vila Nova de Cerveira,,,,,,,,,,,,
Outros Violencia Domestica,Vila Nova de Cerveira,,,3.0,3.0,6.0,9.0,9.0,3.0,6.0,4.0,,8.0
Violencia Domestica Conjuge ou Analogo,Alijó,19.0,17.0,27.0,18.0,28.0,29.0,29.0,26.0,16.0,26.0,19.0,35.0
Violencia Domestica Menores,Alijó,3.0,,,,,,,,,,,
Outros Violencia Domestica,Alijó,7.0,9.0,12.0,20.0,12.0,24.0,18.0,10.0,10.0,14.0,11.0,11.0
Violencia Domestica Conjuge ou Analogo,Boticas,9.0,5.0,5.0,6.0,3.0,,9.0,9.0,7.0,4.0,6.0,6.0
Violencia Domestica Menores,Boticas,,,,,,,,,,,,
Outros Violencia Domestica,Boticas,,,,3.0,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Chaves,35.0,43.0,81.0,83.0,75.0,90.0,81.0,83.0,83.0,72.0,80.0,95.0
Violencia Domestica Menores,Chaves,,,3.0,,,,,,,,,
Outros Violencia Domestica,Chaves,5.0,8.0,9.0,24.0,30.0,19.0,12.0,9.0,4.0,6.0,12.0,7.0
Violencia Domestica Conjuge ou Analogo,Mesão Frio,8.0,15.0,16.0,33.0,29.0,16.0,25.0,18.0,17.0,14.0,6.0,11.0
Violencia Domestica Menores,Mesão Frio,,,,,,,,,,,,5.0
Outros Violencia Domestica,Mesão Frio,,6.0,,,5.0,,3.0,,5.0,,5.0,
Violencia Domestica Conjuge ou Analogo,Mondim de Basto,9.0,7.0,6.0,16.0,19.0,24.0,11.0,18.0,19.0,14.0,11.0,19.0
Violencia Domestica Menores,Mondim de Basto,,,,,,,,,,,,
Outros Violencia Domestica,Mondim de Basto,3.0,,,,3.0,4.0,5.0,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Montalegre,6.0,6.0,35.0,18.0,23.0,18.0,13.0,14.0,18.0,15.0,23.0,16.0
Violencia Domestica Menores,Montalegre,,,,,3.0,,,,,,,
Outros Violencia Domestica,Montalegre,,3.0,6.0,3.0,5.0,3.0,4.0,4.0,3.0,,,
Violencia Domestica Conjuge ou Analogo,Murça,5.0,9.0,13.0,16.0,4.0,15.0,23.0,17.0,11.0,10.0,7.0,11.0
Violencia Domestica Menores,Murça,,,,,,,,,,,,
Outros Violencia Domestica,Murça,,3.0,4.0,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Peso da Régua,32.0,68.0,50.0,34.0,41.0,45.0,64.0,62.0,42.0,34.0,36.0,26.0
Violencia Domestica Menores,Peso da Régua,,,,,,,,,,,,
Outros Violencia Domestica,Peso da Régua,,,7.0,14.0,7.0,20.0,13.0,9.0,10.0,9.0,12.0,13.0
Violencia Domestica Conjuge ou Analogo,Ribeira de Pena,12.0,13.0,10.0,9.0,9.0,12.0,8.0,11.0,7.0,14.0,9.0,15.0
Outros Violencia Domestica,Ribeira de Pena,,,,,,,8.0,3.0,3.0,12.0,4.0,
Violencia Domestica Conjuge ou Analogo,Sabrosa,5.0,3.0,14.0,22.0,19.0,16.0,14.0,9.0,10.0,13.0,9.0,19.0
Violencia Domestica Menores,Sabrosa,,,,,,,,,,,,
Outros Violencia Domestica,Sabrosa,,,,,3.0,,,5.0,7.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Santa Marta de Penaguião,,,9.0,11.0,12.0,5.0,23.0,12.0,14.0,21.0,23.0,9.0
Violencia Domestica Menores,Santa Marta de Penaguião,,,,,,,,,,,,
Outros Violencia Domestica,Santa Marta de Penaguião,,,,,,,,,9.0,7.0,8.0,7.0
Violencia Domestica Conjuge ou Analogo,Valpaços,24.0,48.0,49.0,33.0,30.0,34.0,40.0,34.0,45.0,25.0,29.0,45.0
Violencia Domestica Menores,Valpaços,4.0,,,,,,,,,,,
Outros Violencia Domestica,Valpaços,3.0,15.0,13.0,5.0,15.0,9.0,14.0,4.0,14.0,7.0,4.0,5.0
