Municipality,Year,Value
Miranda do Corvo,2009,13165
Montemor-o-Velho,2009,26121
Mortágua,2009,9723
Oliveira do Hospital,2009,21085
Pampilhosa da Serra,2009,4589
Penacova,2009,15463
Penela,2009,6050
Soure,2009,19511
Tábua,2009,12190
Vila Nova de Poiares,2009,7270
Alvaiázere,2009,7421
Ansião,2009,13273
Batalha,2009,15761
Castanheira de Pêra,2009,3262
Figueiró dos Vinhos,2009,6314
Leiria,2009,126519
Marinha Grande,2009,38461
Pedrógão Grande,2009,3997
Pombal,2009,55599
Porto de Mós,2009,24391
Aguiar da Beira,2009,5581
Carregal do Sal,2009,9920
Castro Daire,2009,15567
Mangualde,2009,20072
Nelas,2009,14105
Oliveira de Frades,2009,10329
Penalva do Castelo,2009,8100
Santa Comba Dão,2009,11726
São Pedro do Sul,2009,17074
Sátão,2009,12605
Tondela,2009,29315
Vila Nova de Paiva,2009,5293
Viseu,2009,98914
Vouzela,2009,10736
Castelo Branco,2009,56224
Idanha-a-Nova,2009,10001
Oleiros,2009,5834
Penamacor,2009,5839
Proença-a-Nova,2009,8486
Vila Velha de Ródão,2009,3586
Abrantes,2009,39810
Alcanena,2009,13975
Constância,2009,4025
Entroncamento,2009,20077
Ferreira do Zêzere,2009,8724
Mação,2009,7518
Ourém,2009,46140
Sardoal,2009,3973
Sertã,2009,16019
Tomar,2009,41035
Torres Novas,2009,36838
Vila de Rei,2009,3470
Vila Nova da Barquinha,2009,7356
Almeida,2009,7430
Belmonte,2009,6953
Celorico da Beira,2009,7868
Covilhã,2009,52260
Figueira de Castelo Rodrigo,2009,6383
Fornos de Algodres,2009,5086
Fundão,2009,29588
Gouveia,2009,14328
Guarda,2009,42880
Manteigas,2009,3523
Mêda,2009,5329
Pinhel,2009,9805
Sabugal,2009,12835
Seia,2009,25102
Trancoso,2009,10049
Alcochete,2009,17093
Almada,2009,173030
Amadora,2009,175274
Barreiro,2009,79025
Cascais,2009,203084
Lisboa,2009,549998
Loures,2009,204493
Mafra,2009,74326
Moita,2009,66296
Montijo,2009,49978
Odivelas,2009,143257
Oeiras,2009,171380
Palmela,2009,61914
Seixal,2009,157571
Sesimbra,2009,48350
Setúbal,2009,120643
Sintra,2009,376921
Vila Franca de Xira,2009,135572
Alcácer do Sal,2009,13172
Grândola,2009,14927
Odemira,2009,26151
Santiago do Cacém,2009,29980
Sines,2009,14194
Aljustrel,2009,9389
Almodôvar,2009,7543
Alvito,2009,2535
Barrancos,2009,1853
Beja,2009,35974
Castro Verde,2009,7361
Cuba,2009,4905
Ferreira do Alentejo,2009,8352
Mértola,2009,7443
Moura,2009,15359
Ourique,2009,5499
Serpa,2009,15836
Vidigueira,2009,5974
Almeirim,2009,23289
Alpiarça,2009,7779
Azambuja,2009,21785
Benavente,2009,28477
Cartaxo,2009,24463
Chamusca,2009,10290
Coruche,2009,20168
Golegã,2009,5506
Rio Maior,2009,21237
Salvaterra de Magos,2009,22034
Santarém,2009,62596
Alter do Chão,2009,3626
Arronches,2009,3208
Avis,2009,4670
Campo Maior,2009,8493
Castelo de Vide,2009,3476
Crato,2009,3792
Elvas,2009,23134
Fronteira,2009,3475
Gavião,2009,4214
Marvão,2009,3598
Monforte,2009,3349
Nisa,2009,7611
Ponte de Sor,2009,16931
Portalegre,2009,25143
Sousel,2009,5180
Alandroal,2009,5949
Arraiolos,2009,7403
Borba,2009,7413
Estremoz,2009,14503
Évora,2009,56779
Montemor-o-Novo,2009,17641
Mora,2009,5099
Mourão,2009,2726
Portel,2009,6536
Redondo,2009,7089
Reguengos de Monsaraz,2009,10913
Vendas Novas,2009,11874
Viana do Alentejo,2009,5761
Vila Viçosa,2009,8411
Albufeira,2009,39859
Alcoutim,2009,3005
Aljezur,2009,5835
Castro Marim,2009,6742
Faro,2009,64032
Lagoa,2009,22770
Lagos,2009,30474
Loulé,2009,69538
Monchique,2009,6170
Olhão,2009,44922
Portimão,2009,54602
São Brás de Alportel,2009,10604
Silves,2009,36824
Tavira,2009,26120
Vila do Bispo,2009,5268
Vila Real de Santo António,2009,19059
Vila do Porto,2009,5579
Lagoa [R.A.A.],2009,14421
Nordeste,2009,5019
Ponta Delgada,2009,68679
Povoação,2009,6399
Ribeira Grande,2009,31731
Vila Franca do Campo,2009,11228
Angra do Heroísmo,2009,35572
Vila da Praia da Vitória,2009,21020
Santa Cruz da Graciosa,2009,4459
Calheta [R.A.A.],2009,3834
Velas,2009,5459
Lajes do Pico,2009,4746
Madalena,2009,6069
São Roque do Pico,2009,3417
Horta,2009,15016
Lajes das Flores,2009,1512
Santa Cruz das Flores,2009,2322
Corvo,2009,418
Calheta [R.A.M.],2009,11630
Câmara de Lobos,2009,35715
Funchal,2009,111599
Machico,2009,21926
Ponta do Sol,2009,8817
Porto Moniz,2009,2762
Ribeira Brava,2009,13381
Santa Cruz,2009,41816
Santana,2009,7871
São Vicente,2009,5810
Porto Santo,2009,5388
Arcos de Valdevez,2010,22906
Caminha,2010,16726
Melgaço,2010,9245
Monção,2010,19282
Paredes de Coura,2010,9213
Ponte da Barca,2010,12083
Ponte de Lima,2010,43554
Valença,2010,14155
Viana do Castelo,2010,88851
Vila Nova de Cerveira,2010,9291
Amares,2010,18901
Barcelos,2010,120458
Braga,2010,181481
Esposende,2010,34289
Terras de Bouro,2010,7280
Vila Verde,2010,47974
Cabeceiras de Basto,2010,16739
Fafe,2010,50684
Guimarães,2010,158211
Mondim de Basto,2010,7522
Póvoa de Lanhoso,2010,21896
Vieira do Minho,2010,13021
Vila Nova de Famalicão,2010,133901
Vizela,2010,23746
Arouca,2010,22380
Espinho,2010,31817
Gondomar,2010,168168
Maia,2010,135330
Matosinhos,2010,175600
Oliveira de Azeméis,2010,68700
Paredes,2010,86849
Porto,2010,238046
Póvoa de Varzim,2010,63483
Santa Maria da Feira,2010,139404
Santo Tirso,2010,71612
São João da Madeira,2010,21723
Trofa,2010,39033
Vale de Cambra,2010,22906
Valongo,2010,93901
Vila do Conde,2010,79582
Vila Nova de Gaia,2010,302541
Boticas,2010,5768
Chaves,2010,41336
Montalegre,2010,10578
Ribeira de Pena,2010,6564
Valpaços,2010,16931
Vila Pouca de Aguiar,2010,13214
Amarante,2010,56314
Baião,2010,20561
Castelo de Paiva,2010,16756
Celorico de Basto,2010,20133
Cinfães,2010,20464
Felgueiras,2010,58114
Lousada,2010,47414
Marco de Canaveses,2010,53507
Paços de Ferreira,2010,56350
Penafiel,2010,72330
Resende,2010,11397
Alijó,2010,11962
Armamar,2010,6324
Carrazeda de Ansiães,2010,6389
Freixo de Espada à Cinta,2010,3793
Lamego,2010,26745
Mesão Frio,2010,4444
Moimenta da Beira,2010,10211
Murça,2010,5962
Penedono,2010,2962
Peso da Régua,2010,17157
Sabrosa,2010,6378
Santa Marta de Penaguião,2010,7371
São João da Pesqueira,2010,7905
Sernancelhe,2010,5681
Tabuaço,2010,6364
Tarouca,2010,8068
Torre de Moncorvo,2010,8613
Vila Nova de Foz Côa,2010,7322
Vila Real,2010,51923
Alfândega da Fé,2010,5105
Bragança,2010,35394
Macedo de Cavaleiros,2010,15806
Miranda do Douro,2010,7512
Mirandela,2010,23902
Mogadouro,2010,9565
Vila Flor,2010,6713
Vimioso,2010,4701
Vinhais,2010,9098
Alcobaça,2010,56815
Alenquer,2010,43303
Arruda dos Vinhos,2010,13395
Bombarral,2010,13209
Cadaval,2010,14269
Caldas da Rainha,2010,51798
Lourinhã,2010,25768
Nazaré,2010,15184
Óbidos,2010,11788
Peniche,2010,27811
Sobral de Monte Agraço,2010,10173
Torres Vedras,2010,79552
Águeda,2010,47787
Albergaria-a-Velha,2010,25282
Anadia,2010,29208
Aveiro,2010,78463
Estarreja,2010,27010
Ílhavo,2010,38624
Murtosa,2010,10601
Oliveira do Bairro,2010,23029
Ovar,2010,55436
Sever do Vouga,2010,12391
Vagos,2010,22872
Arganil,2010,12183
Cantanhede,2010,36657
Coimbra,2010,143589
Condeixa-a-Nova,2010,17109
Figueira da Foz,2010,62263
Góis,2010,4272
Lousã,2010,17619
Mealhada,2010,20462
Mira,2010,12497
Miranda do Corvo,2010,13131
Montemor-o-Velho,2010,26207
Mortágua,2010,9634
Oliveira do Hospital,2010,20900
Pampilhosa da Serra,2010,4507
Penacova,2010,15286
Penela,2010,5995
Soure,2010,19298
Tábua,2010,12113
Vila Nova de Poiares,2010,7289
Alvaiázere,2010,7322
Ansião,2010,13166
Batalha,2010,15830
Castanheira de Pêra,2010,3206
Figueiró dos Vinhos,2010,6193
Leiria,2010,126925
Marinha Grande,2010,38726
Pedrógão Grande,2010,3932
Pombal,2010,55339
Porto de Mós,2010,24374
Aguiar da Beira,2010,5497
Carregal do Sal,2010,9837
Castro Daire,2010,15369
Mangualde,2010,19929
Nelas,2010,14037
Oliveira de Frades,2010,10273
Penalva do Castelo,2010,7967
Santa Comba Dão,2010,11612
São Pedro do Sul,2010,16880
Sátão,2010,12491
Tondela,2010,29014
Vila Nova de Paiva,2010,5183
Viseu,2010,99313
Vouzela,2010,10575
Castelo Branco,2010,56218
Idanha-a-Nova,2010,9764
Oleiros,2010,5747
Penamacor,2010,5733
Proença-a-Nova,2010,8343
Vila Velha de Ródão,2010,3538
Abrantes,2010,39464
Alcanena,2010,13889
Constância,2010,4052
Entroncamento,2010,20217
Ferreira do Zêzere,2010,8634
Mação,2010,7383
Ourém,2010,46001
Sardoal,2010,3946
Sertã,2010,15934
Tomar,2010,40786
Torres Novas,2010,36812
Vila de Rei,2010,3466
Vila Nova da Barquinha,2010,7320
Almeida,2010,7279
Belmonte,2010,6877
Celorico da Beira,2010,7724
Covilhã,2010,51901
Figueira de Castelo Rodrigo,2010,6282
Fornos de Algodres,2010,4993
Fundão,2010,29276
Gouveia,2010,14096
Guarda,2010,42615
Manteigas,2010,3445
Mêda,2010,5220
Pinhel,2010,9647
Sabugal,2010,12591
Seia,2010,24758
Trancoso,2010,9922
Alcochete,2010,17564
Almada,2010,174237
Amadora,2010,175141
Barreiro,2010,78913
Cascais,2010,206449
Lisboa,2010,548422
Loures,2010,204987
Mafra,2010,76671
Moita,2010,66056
Montijo,2010,51207
Odivelas,2010,144444
